dataset,model,normalization,k,precision,recall,ndcg
yelp_reviews,pipeline,RLAE,10,0.0,0.0,0.0
yelp_reviews,pipeline,RLAE,20,0.00013623978201634878,0.0027247956403269754,0.0006414411808355265
yelp_reviews,combine,EASE,10,0.0,0.0,0.0
yelp_reviews,combine,EASE,20,0.0,0.0,0.0
yelp_reviews,regularization,LAE,10,0.005994550408719347,0.05994550408719346,0.030331947278049512
yelp_reviews,regularization,LAE,20,0.0035422343324250684,0.07084468664850137,0.03310288557003581
yelp_reviews,dan,RLAE,10,0.0,0.0,0.0
yelp_reviews,dan,RLAE,20,0.0,0.0,0.0
yelp_reviews,sapling,,10,0.0035422343324250684,0.035422343324250684,0.017694323450469344
yelp_reviews,sapling,,20,0.0038147138964577656,0.07629427792915532,0.027860352946125832
yelp_reviews,dan,EASE,10,0.0,0.0,0.0
yelp_reviews,dan,EASE,20,0.0,0.0,0.0
amazon_products,pipeline,LAE,10,0.0,0.0,0.0
amazon_products,pipeline,LAE,20,6.666666666666667e-05,0.0013333333333333333,0.0003138785511555177
amazon_products,combine,LAE,10,0.00013333333333333334,0.0002666666666666667,0.00014265750982301838
amazon_products,combine,LAE,20,0.00013333333333333334,0.0007111111111111111,0.00029908375183060386
amazon_products,regularization,LAE,10,0.0,0.0,0.0
amazon_products,regularization,LAE,20,0.00020000000000000004,0.0029333333333333334,0.0008119442742992434
amazon_products,dan,LAE,10,0.00013333333333333334,0.0002666666666666667,0.00013612986016388218
amazon_products,dan,LAE,20,6.666666666666667e-05,0.0002666666666666667,0.00013612986016388218
amazon_products,sapling,,10,0.0018666666666666666,0.01671111111111111,0.006662106464697542
amazon_products,sapling,,20,0.0012666666666666666,0.023377777777777775,0.008294222736273298
amazon_products,dan,LAE,10,0.00013333333333333334,0.0002666666666666667,0.00013612986016388218
amazon_products,dan,LAE,20,6.666666666666667e-05,0.0002666666666666667,0.00013612986016388218
amazon_reviews_books,pipeline,LAE,10,0.0,0.0,0.0
amazon_reviews_books,pipeline,LAE,20,0.0005000000000000001,0.0021234939759036146,0.0007947691394405591
amazon_reviews_books,combine,LAE,10,0.0,0.0,0.0
amazon_reviews_books,combine,LAE,20,0.0,0.0,0.0
amazon_reviews_books,regularization,LAE,10,0.0,0.0,0.0
amazon_reviews_books,regularization,LAE,20,0.0003333333333333334,0.0033666666666666667,0.0009447916379490451
amazon_reviews_books,dan,LAE,10,0.0006666666666666668,1.2970168612191959e-05,0.0006943122193677726
amazon_reviews_books,dan,LAE,20,0.0003333333333333334,1.2970168612191959e-05,0.0004480864360167173
amazon_reviews_books,sapling,,10,0.0003333333333333334,0.0033333333333333335,0.0009635494210596263
amazon_reviews_books,sapling,,20,0.0003333333333333334,0.00375,0.0011850003653028802
amazon_reviews_books,dan,LAE,10,0.0006666666666666668,1.2970168612191959e-05,0.0006943122193677726
amazon_reviews_books,dan,LAE,20,0.0003333333333333334,1.2970168612191959e-05,0.0004480864360167173
